art,datum,detail,ort,latitude,longitude
Sturzflut 1,06.07.1987,Sturzflut bei Rüeggisberg (BE),Rüeggisberg,46.8214813,7.43971
Sturzflut 1,06.07.1987,Sturzflut bei Leissigen (BE),Leissigen,46.6540687,7.7738604
Sturzflut 1,03.07.1987,Sturzflut bei Oberlangenegg (BE),Oberlangenegg (BE),46.799803,7.734264
Sturzflut 2,03.07.1987,Sturzflut bei Wilderswil und im Habkerntal (BE),Habkerntal,46.73441014,7.86088114
Sturzflut 1,01.07.1987,Sturzflut bei Romont (FR),Romont,46.694829,6.9183328
Sturzflut 1,01.07.1987,Sturzflut bei Frauenkirch (GR),Frauenkirch,46.768961,9.8003567
Sturzflut 2,01.07.1987,Sturzflut an der Rigi-Nordlehne (SZ),Rigi,47.0566777,8.4852649
Sturzflut 3,01.07.1987,Sturzflut in Biembach im Emmental (BE),Biembach,47.0005638,7.6203997
Hochwasser,15.06.1987,Starkregen in den östlichen Voralpen,östliche Voralpen,47.10487133,9.238975791
Sturzflut 1,15.06.1987,Sturzflut im oberen Baselbiet (BL),Baselbiet,47.5092938,7.6588333
Sturzflut 2,11.08.1986,Sturzflut über dem Lütschental (BE),Lütschental,46.638529,7.947553
Sturzflut 2,23.06.1986,Sturzflut am Brünig (OW),Brünig,46.7572506,8.1359044
Sturzflut 1,20.06.1986,Sturzfluten im Luzerner Hinterland (LU),Luzern,47.0505452,8.3054682
Sturzflut 2,20.06.1986,Sturzflut bei Bözberg (AG),Bözberg,47.4859175,8.148582661
Sturzflut 1,20.06.1986,Sturzflut in Boll (BE),Boll (BE),46.9535536,7.5479955
Sturzflut 2,20.06.1986,Sturzflut in Melchnau (BE),Melchnau,47.1824376,7.8518093
Sturzflut 2,19.06.1986,Sturzflut im Balsthal (SO),Balsthal,47.3140365,7.6947764
Sturzflut 2,17.06.1986,Sturzflut bei Baar (ZG),Baar ,47.1951976,8.5253985
Sturzflut 2,16.06.1986,Sturzflut bei Bowil (BE) und Linden (BE),Bowil,46.8930567,7.6949602
Sturzflut 2,16.06.1986,Sturzflut in Jegenstorf (BE),Jegensdorf,47.04978035,7.506130097
Sturzflut 2,27.05.1986,Sturzflut bei Herisau (AR),Herisau,47.38555,9.2787571
Sturzflut 2,27.05.1986,Sturzflut im Freiamt (AG),Freiamt,47.2302283,8.3422897
Sturzflut 1,27.05.1986,Sturzflut bei Muttenz (BL),Muttenz,47.52764177,7.648189556
Sturzflut 3,23.05.1986,Sturzflut in Boll (BE),Boll (BE),46.9535536,7.5479955
Sturzflut 1,07.05.1986,Sturzflut bei Ueberstorf (FR),Ueberstorf ,46.8650568,7.3114056
Sturzflut 1,05.05.1986,Sturzflut bei Ueberstorf (FR),Ueberstorf ,46.8650568,7.3114056
Hochwasser,25.08.1985,Starkregen im Tessin und Graubünden,Tessin,46.3351913,8.7525902
Sturzflut 2,06.07.1985,Sturzflut im Oberen Baselbiet (BL),Baselbiet,47.5092938,7.6588333
Sturzflut 2,05.07.1985,Sturzflut bei Oberegg (AI),Oberegg,47.4229588,9.5505705
Sturzflut 3,04.07.1985,Sturzflut in Schwarzenburg (BE),Schwarzenburg,46.8179164,7.3411883
Sturzflut 1,04.06.1985,Sturzflut bei Plaffeien (FR),Plaffeien,46.741454,7.2865098
Sturzflut 1,28.05.1985,Sturzflut in Oppligen (BE),Oppligen,46.8199569,7.5955418
Hochwasser,05.09.1984,Starker Gewitterregen im Tessin und Graubünden,Graubünden,46.6960615,9.6027351
Sturzflut 1,10.08.1984,Sturzflut in Giswil (OW),Giswil,46.838175,8.1880027
Sturzflut 2,10.08.1984,Sturzflut in Wetzikon (ZH),Wetzikon,47.3226925,8.7980939
Sturzflut 2,25.07.1984,Sturzflut in Därligen (BE),Därligen,46.6606497,7.8094165
Sturzflut 2,25.07.1984,Sturzflut von Buochs (NW) über Gersau (SZ) bis Alpthal (SZ),Buochs,46.9739978,8.4205883
Hochwasser,26.11.1983,Starkregen in der Westschweiz,Westschweiz,46.57714235,6.446213791
Hochwasser,11.09.1983,Sturzfluten und Hochwasser im Tessin (TI) und im Moesa (GR),Tessin,46.3351913,8.7525902
Hochwasser,01.09.1983,Starker Gewitterregen am Langensee,Langensee,46.1388076,8.771122034
Sturzflut 2,23.08.1983,Sturzflut im Eriz (BE),Eriz,46.78758,7.798843
Sturzflut 2,03.08.1983,Sturzflut bei Heiden (AR) und Wald (AR),Heiden,47.4421715,9.532089
Sturzflut 1,06.07.1983,Sturzflut in Eggiwil (BE),Eggiwil,46.8752245,7.7974921
Sturzflut 2,06.07.1983,Sturzflut in Reutigen (BE),Reutigen,46.6942728,7.623712
Sturzflut 1,24.06.1983,Sturzflut in Tafers (FR),Tafers,46.8152805,7.2167886
Hochwasser,15.05.1983,Starkregen im Centovalli und in Südbünden,Centovalli,46.15545525,8.657803793
Hochwasser,26.09.1982,Starker Gewitterregen im Tessin,Tessin,46.3351913,8.7525902
Hochwasser,06.09.1982,Starker Gewitterregen am Langensee,Langensee,46.1388076,8.771122034
